ID,Title,Summary
M-2020-034,Relaxation in the Credit Risk Weight for Loans to MSMEs under the BSP’s Risk-Based Capital Adequacy Frameworks,"NO  
The document discusses regulatory changes related to credit risk management for MSMEs under the BSP's framework, focusing on capital adequacy without addressing digital banking infrastructure or technology implementation."
1087,Alternative Compliance with the Reserve Requirements of Banks and Non-Bank Financial Institutions with Quasi-Banking Functions (NBQBs),"The document outlines a mechanism for NBQBs (National Business Process Query Batches) to use MSME loans and loans to large enterprises as alternative compliance with reserve requirements during the COVID-19 pandemic. Here's a structured summary of the key points:

### Key Points:

1. **Alternative Compliance Overview**:
   - **MSME Loans**: Available from April 24, 2020, to December 30, 2021.
   - **Loans to Large Enterprises**: Available from May 29, 2020, to the same end date.

2. **Criteria for Large Enterprises**:
   - Not part of a conglomerate structure.
   - Assets (excluding land) exceed P100 million and employ at least 200 people.
   - Critically impacted by COVID-19: either increased liabilities surpassing assets or a 50% decline in gross receipts, affecting their ability to meet obligations.

3. **Eligibility for Alternative Compliance**:
   - MSME loans must be genuine, without hypothecation or encumberment.
   - Loans to large enterprises similarly require authenticity and lack of specific purposes beyond the stated.

4. **Valuation Considerations**:
   - Loans are valued at amortized cost, excluding capitalized interest and principal from restructured loans.

5. **Regulatory Context**:
   - The amendment to Section 214-Q (not detailed here) likely provides computational methods for reserve positions using these alternative loans.
   - False statements or misleading information by NBQB directors may lead to sanctions under R.A. No. 7653 and its amendments.

6. **Impact on the Banking Sector**:
   - Provides liquidity support to SMEs during pandemic, distinguishing from universal bailouts of large enterprises.
   - Ensures financial stability without over-supplying SMEs or creating dependency on NBQBs for SME support.

7. **Implementation Considerations**:
   - Potential need for case studies or examples to illustrate application and effectiveness.
   - Regulatory safeguards against misuse, ensuring accurate reporting to prevent personal gain abuse.

This mechanism balances pandemic relief for SMEs with maintaining financial prudence towards large enterprises, fostering a more resilient banking ecosystem."
1207,Amendments to the Manual of Regulations for Banks and Manual of Regulations for Non-Bank Financial Institutions pertaining to Bangko Sentral Issued Securities’ Eligible Counterparties —- Trust Entities thru Investment Management Accounts,"The document discusses regulations regarding Bangko Sentral Issued Securities and their eligible counterparties, focusing on trust entities through investment management accounts. It outlines amendments to monetary operations related to these securities' trading and eligibility in secondary markets. While it pertains to the financial system supporting banking services, it is a regulatory update rather than a technical implementation for digital banking infrastructure.

Answer: NO"
1196,Amendments to the Guidelines on the Settlement of Electronic Payments Under the National Retail Payment System (NRPS) Framework,"The document discusses amendments to guidelines regarding electronic payments under the NRPS framework, focusing on regulatory changes for settlement mechanisms in the banking system. It does not cover backend or frontend implementation details.

YES  
This document is about the regulatory framework governing electronic payments and settlement mechanisms within the NRPS, which falls under digital banking infrastructure and systems but specifically addresses operational guidelines rather than direct technology development implementations like APIs or server setups."
CL-2021-040,"Merger of Producers Savings Bank Corporation and PBCOM Rural Bank, Inc.","NO  
The document discusses the merger of two banks and regulatory approval for the transaction, not related to digital banking development."
1165,Amendments to the Ceiling on Interest or Finance Charges for Credit Card Receivables,"NO  
The document outlines amendments to interest rates and finance charges for credit card receivables, focusing on regulatory limits for banks. It does not pertain to backend API implementations, frontend developments, server infrastructure, or UI/UX design for digital banking systems."
CL-2020-058,Cancellation of Certificate of Registration of Excellent Forex Corporation,"NO  
The document pertains to regulatory actions related to the cancellation of a certificate due to violations of financial regulations. It does not relate to digital banking development such as backend APIs, frontend implementations, server infrastructure, or database systems."
CL-2021-100,Anti-Money Laundering Council's (AMLC) Warning Against Providing Financial and Material Support to CPP-NPA-NDF,"The CL-2021-9 document serves as an official notice detailing the designation of the Communist Party of the Philippines-National Democratic Front (CPP-NPF) as a terrorist organization by multiple international bodies, including the United States, European Union, Australia, United Kingdom, and New Zealand. This designation is part of broader anti-terrorism measures. The document outlines legal penalties for any assistance provided to the CPP-NPF under Anti-Terrorism Act (ATA) and Terrorism Financing Prevention and Suppression Act (TFPSA), emphasizing severe penalties such as life imprisonment or financial sanctions. Additionally, it mandates reporting procedures for illegal fund collection activities, requiring compliance with specific filing requirements by affected agencies. The document aims to guide officials in implementing these measures and preventing further legal violations."
M-2022-035,Modified Approach in the Grant of VASP Licenses,"NO  
The document discusses regulatory adjustments for VASP licenses but does not relate to backend API implementation, frontend development, or server infrastructure in digital banking."
CL-2021-011,Lost Bangko Sentral Registration Document (BSRD),"NO  
This document discusses the loss of registration documents affecting foreign exchange transactions and compliance, unrelated to digital banking systems or infrastructure."
1134,Amendments to the Relevant Regulations on Foreign Currency Deposit System - Phase 2,"**Circular of the Monetary Board on Foreign Currency Denominated Transactions (2021)**

This document outlines operational guidelines for banks in the Philippines regarding foreign currency denominated transactions, emphasizing risk management and compliance. Here's a structured summary:

1. **Foreign Exchange Derivatives and Repo Facilities:**
   - Banks must manage foreign exchange derivatives and repo facilities to hedge against risks.
   - Clearing mechanisms ensure settled transactions through designated clearing houses.

2. **Asset Cover Requirements:**
   - Requirement for 100% asset cover across depository banks to match or exceed foreign currency liabilities.
   - Specific accounts like accounts receivable, loans to RBU, and export bills must be appropriately covered.
   - Separate accounts are maintained for FCDU/EFCDU and regular banking unit activities.

3. **Taxation Compliance:**
   - Foreign currency transactions are subject to national tax codes; banks must comply with both local laws and the Monetary Board's guidelines.

4. **Risk Management Framework:**
   - Banks must develop a comprehensive framework addressing market, liquidity, and operational risks.
   - Integration of risk management processes is crucial for effective governance.

5. **Circular Details:**
   - Applicability period: Takes effect 15 days after publication in the Official Gazette or a newspaper.
   - Effective Date: December 28, 2021.

This circular serves as a regulatory guide ensuring banks effectively handle foreign currency risks and comply with necessary legal requirements."
CL-2021-087,"Approved Applications for New Banking Offices and Opened Banking Offices During the 2"" Quarter of 2021","NO  
This document is about the approval and opening of new banking offices during the second quarter of 2021. It does not pertain to backend APIs, frontend implementation, or server infrastructure related to digital banking."
M-2022-050,Guidelines on the Submission of Forms on Unit Investment,"# Unit Investment Trust Fund (UITF) Application Template

## 1. UITF Application Form
### 1.1 General Information
- **Application Title:** [Enter the name of the UITF]
- **Applicant Name(s):** [Name of the applicant(s)]
- **Trust Officer Name(s):** [Name of the trust officer(s) responsible for the application]
- **BOD Approval Date:** [Date of approval by the Board of Directors (BOD)]
- **Background of the UITF:**
  - **Fund Purpose:** [Describe the purpose and objectives of the fund]
  - **Investment Policy:** [Outline the policy and guidelines for investments]
  - **Fund Structure:** [Detailed description of how the fund is structured]

### 1.2 Risk Profile and Investment Horizon
- **Risk Profile:** [Description of the risk profile of target investors]
- **Recommended Investment Horizon:** [Specify the recommended period for investment]
- **Investment Objective(s):** [List clear investment objectives]
- **Target Allocation:** [Breakdown of asset allocation strategies]

### 1.3 Fund Classification and Fees
- **Fund Classification:** [Classify the fund according to relevant criteria]
- **Fees and Charges:**
  - **Trust Fee:** [Specify the trust fee structure]
  - **Custodianship Fee:** [Outline custodianship fees if applicable]
  - **Auditorial Fees:** [ detail auditorial or external auditing costs]

### 1.4 Minimum Participation Requirements
- **Minimum Initial Participation:** [Specify minimum percentage required for initial investment]
- **Minimum Maintaining Participation:** [Define the ongoing participation requirement]
- **Minimum Additional Participation (if applicable):** [Detail additional minimum participation if required]

### 1.5 Subscription and Currency Details
- **Settlement Period for Subscription:** [Specify the period after which subscriptions can be made]
- **Base Currency for Subscription and Redemption:** [Identify the currency used for transactions]
- **Currency of Underlying Investments:** [Specify the currencies of investments within the fund]

### 1.6 List of Documents
- **Documents to be submitted to BSP:**
  - **Application Form with all details filled in**
  - **Other required supporting documents**

---

## 2. Amendment Form for UITF

### 2.1 General Information
- **Amendment Date:** [Date of amendment]
- **Effective Date of Amendment:** [Date after which the amendments take effect]

### 2.2 Investment Policy and Strategy
- **Investment Objective(s):** [Update or clarify investment objectives]
- **Investment Policy:** [Revise or detail the updated investment policy]
- **Strategy for Asset Allocation:** [Outline the revised strategy for asset allocation]

### 2.3 Risk Profile and Target Allocation (if applicable)
- **Risk Profile:** [Revised risk profile based on changes]
- **Target Allocation:** [Updated allocation of assets within the fund]

---

## 3. Key Features of Existing UITFs (ANNEX C)

### 3.1 General Information
- **Fund Name:** [Name of the existing fund]
- **BOD Meeting Date:** [Date of the BOD meeting where approval was received]
- **Background of the Fund:** [Summary of the fund's background and purpose]

### 3.2 Investment Policy Details
- **Investment Policy:** [Detailed description of the investment policy]
- **Risk Profile:** [Relevant risk profile information]

### 3.3 Structure of the UITF
- **Structure:** [Breakdown of how the fund is structured]
- **Target Allocation:** [Details on asset allocation within the fund]

### 3.4 Investment Policy and Risk Features
- **Investment Policy:** [Current investment policy with updated guidelines]
- **Risk Features:** [Detailed description of risk features]

---

## 4. Certify Correct

**[Trust Officer Name]**
Signature: ___________________________

Date: _______________________________

---

This template ensures that all necessary fields are included, and the information is organized in a clear and user-friendly manner. It also provides flexibility for users to input specific details relevant to each UITF application or amendment."
CL-2021-025,"MB Resolution No. 338.A dated 25 March 2021 Prohibition of the Occidental Mindoro Rural Bank, Inc. From Doing Business in the Philippines","NO  
This document is a monetary board resolution prohibiting Occidental Mindoro Rural Bank from operating in the Philippines, focusing on regulatory actions and financial insolvency procedures without any mention of digital banking technologies or infrastructure."
1100,Amendments to the Alternative Compliance with the Reserve Requirements of Banks and Non-Bank Financial Institutions with Quasi-Banking Functions (NBQBs},"NO  
The document discusses regulatory amendments related to alternative compliance for reserve requirements using MSME and large enterprise loans, which is part of financial regulation. It does not pertain to digital banking development such as backend API implementation, frontend development, or server infrastructure.

NO"
M-2023-019,Customer Due Diligence (CDD) on Designated Non-Financial Business and Profession (DNFBP) Customers,"NO  
This document pertains to Customer Due Diligence (CDD) procedures for Designated Non-Financial Business and Profession (DNFBP) customers, focusing on regulatory compliance and anti-money laundering measures. It does not discuss digital banking development aspects such as backend APIs, frontend implementations, or server infrastructure."
M-2022-001,Supplemental Report to the Financial Reporting Package (FRP) on Modified and Restructured Loans,"NO  
The document is about financial reporting related to modified and restructured loans, not digital banking's backend, frontend, server infrastructure, or UI/UX components."
1151,Amendments to the Minimum Capitalization of Rural Banks,"NO  
The document discusses amendments to the Minimum Capitalization of Rural Banks, focusing on regulatory changes and capital requirements. It does not pertain to digital banking development or backend/ frontend implementation."
CL-2021-064,Lost Bangko Sentral Registration Document (BSRD),"NO  
The document is about foreign direct investments and their registration in the Philippines, specifically mentioning a lost BSRD and its replacement for capital repatriation or earnings remittance. It does not pertain to digital banking development such as backend APIs, frontend implementations, or server infrastructure.

---

**Final Answer:**  
NO"
1141,Amendments to the Regulations on the Internal Audit Function of a Trust Corporation,"NO  
The document discusses internal audit regulations for trust corporations, focusing on governance, risk management, and operational standards. It does not pertain to digital banking development aspects such as API implementation or server infrastructure.

---

NO"
M-2023-009,Collection of the Annual Supervision Fees (ASF) for the Year 2023,"To address the financial tasks related to the provided document, follow these organized steps:

1. **Understand Scenario 4:**
   - **Key Figures:** Recomputed ASF for 2022 is 5,041.04, with an over-collection of 24.94.
   - **Impact:** The over-collection indicates that more funds were set aside than collected, resulting in a slight negative adjustment.

2. **Understand Scenario 5:**
   - **Banks Involved:** KB A, TB B, RB C maintain Basic Deposit Accounts (FRP Depliab Schedule 22A).
   - **Reduction Mechanism:** Each bank's AAA is reduced by the average amount of BDA maintained in the preceding year. This reduction is calculated by taking the average BDA balance and multiplying it by 5.

3. **Calculation Steps for Scenario 5:**
   a. **Net Assessable Assets (NAA):** For each bank, subtract total deductions from total assessable assets.
      - Formula: NAA = Total Assessable Assets - Total Deductions
   b. **Average Assessable Assets (AA*A):** Multiply the average assessable assets by 5.
      - Formula: Adjusted AA*A = Average Assessable Assets * 5
   c. **Annual Supervisory Fee (ASF):** Use the adjusted AA*A to compute the annual supervisory fee.

4. **Example Calculation for KB A:**
   - Suppose KB A has:
     - Total Assessable Assets = $10,000
     - Total Deductions = $2,000
     - Average Assessable Assets (AA*) = $3,000

   a. NAA = 10,000 - 2,000 = $8,000
   b. Adjusted AA*A = 3,000 * 5 = 15,000
   c. Annual Supervisory Fee (ASF) = 15,000

5. **Repeat Calculations for TB B and RB C:**
   - Apply the same formulas using each bank's specific data to determine their respective NAA, Adjusted AA*A, and ASF.

6. **Compare and Analyze:**
   - Compare the results across all banks to understand how each bank's BDA maintenance affects their financial metrics.
   - Assess the impact of over-collection from scenario 4 on each bank’s supervisory fees.

By following these steps, you can systematically analyze the financial implications for each bank under both scenarios."
M-2022-011,Collection of the Annual Supervisory Fees (ASF) for the Year 2022,"It looks like you've provided a detailed financial document with data related to ASFs (Assessment Services Funds) and scenarios for calculating them under different conditions. However, the text is fragmented and lacks clear structure, making it difficult to understand exactly what you're asking for.

If you need help with specific calculations or understanding the context of this document, please provide more details or clarify your question. For example:

1. Are you looking to calculate the ASFs for KB A, TB B, or RB C under Scenario J?
2. Do you need help with adjusting the ASFs based on changes in deposit account types (from BDA to NWA) as described in Scenario K?
3. Are there specific parts of the document that are unclear or confusing?

Let me know how I can assist!"
CL-2021-035,"Purchase of All Assets and Assumption of All Liabilities, Excluding Deposit for Stock Subscription, of Rural Bank of Pototan (Iloilo), Inc. [PTOTN] by First Imperial Business Bank, Inc. (A Rural Bank), and Revocation of Banking License of PTOTN","NO  
The document discusses the purchase of assets and assumption of liabilities by a bank leading to its license termination but does not involve any digital banking development aspects such as backend API implementations, frontend developments, or server infrastructure."
1110,Rationalization of Prudential Reporting Requirements,"The document is not related to digital banking development but pertains to regulatory requirements for banks, specifically updating their reporting on credit accommodations. 

Answer: No"
M-2022-040,Guidelines on the Implementation of the Rural Bank Strengthening Program,"The documents you've provided outline the necessary steps and requirements for banks in the Philippines to undergo a merger, consolidation, or acquisition. Each agency involved has specific criteria that must be met:

1. **Philippine Competition Commission (PCC):**
   - Requires letters of non-coverage from compulsory notifications.
   - Needs certifications from authorized personnel on the transaction's legality.
   - Requires latest information sheets and diagrams showing company relationships before and after the merger.

2. **Philippine Deposit Insurance Corporation (PDIC):**
   - Demands joint letters requesting PDIC consent.
   - Requires compliance certifications with PDIC regulations, including notifications to creditors/depositors.

3. **Securities and Exchange Commission (SEC):**
   - Needs detailed audit reports from audited financial statements.
   - Requires compliance clearances and public affidavits on publication if involving insolvency.

4. **Cooperative Development Authority (CDA):**
   - Needs certificates of registration, surety bonds, and written agreements for obligations post-transaction.

5. **Banking Services Provider's Board (BSP):**
   - Involves self-eligibility tests, summaries of officers with qualifications.
   - Requires organizational charts and previous incorporation documents.

**Summary:**
For a successful bank merger or acquisition in the Philippines, each step must be meticulously prepared and submitted to relevant agencies. The process is complex but necessary to ensure legal compliance, transparency, and public trust. By organizing requirements into clear sections based on agencies involved, it becomes manageable and ensures all bases are covered for a smooth transaction."
CL-2021-097,"IMB Resolution No. 1635.B dated 02 December 2021 Prohibition of the Opportunity Kauswagan Bank, Inc. (A Microfinance Rural Bank) Operating Under the Business Name/Style of OK Bank (A Microfinance Rural Bank), From Doing Business in the Philippines","NO  
This document discusses the Monetary Board's resolution prohibiting a bank from operating in the Philippines due to compliance issues with Republic Acts 7653 and 3591. It pertains to regulatory actions rather than digital banking development.

NO"
CL-2021-001,"Meycauayan Second Rural Bank, Inc. — Voluntary Surrender of Banking License","NO  
The document pertains to the voluntary surrender of a bank's license by Meycauayan Second Rural Bank, Inc., involving termination and regulatory compliance rather than any technological or infrastructure aspects relevant to digital banking.  

NO"
1124,Amendments to the foreign exchange regulations,"It seems you've provided a lot of internal documentation related to foreign exchange (FX) reporting for banks in the Philippines, particularly focusing on the Bangko Sentral ng Pilipinas (BSP). This appears to be part of BSP's regulatory framework for FX reporting requirements. Below is an analysis and summary of the key components:

---

### **Key Components of FX Reporting:**

1. **Form 1/A-2/Primary**:  
   - This form is used by commercial banks in the Philippines to report their FX positions, including open positions (OA), advance payments (OA and Open Account, OA), remittances for importations, and other foreign exchange transactions.

2. **Monthly Reporting Requirements**:
   - BSP requires commercial banks to submit monthly reports on their FX positions, purchases/sales of FX, and related transactions.
   - **Submission Deadlines**:  
     - Reports must be submitted within five (5) banking days from the end of the reference month.
     - Submission method: Email to the International Operations Department at `iod_tradeinv@bsp.gov.ph`.

3. **Annex B.1**:
   - A monthly report on the sale/remittance of FX for the advance payment of importations.
   - Format:  
     ```
     Month Name, Day-Month-Year (e.g., January 01, 2024)
     Total FX sold or remitted amount in USD equivalent
     Reporting bank details
     Prepared by: Name and position
     Certified True and Correct:
     Signature
     ```

4. **Annex B.2**:
   - A monthly report on the purchase of FX arising from the refund of advance payments of importations.
   - Format:  
     ```
     Month Name, Day-Month-Year (e.g., January 01, 2024)
     Total FX purchased amount in USD equivalent
     Reporting bank details
     Prepared by: Name and position
     Certified True and Correct:
     Signature
     ```

5. **Schedules**:
   - **Schedule 13 of FX Form 1**:  
     Reports on consolidated foreign exchange positions.
   - **CFXPR (Annex Q)**:  
     Additional details about FX transactions.

---

### **Steps to Complete the Forms:**
1. **Identify Transactions**:  
   - Gather all relevant FX transactions, including sales, remittances, purchases, and refunds related to importations.

2. **Prepare Data**:  
   - Ensure accurate data on amounts, types of transactions (e.g., spot rate vs. forward rate), and details about the reporting bank.

3. **Complete the Forms**:  
   - Fill out Form 1/A-2/Primary with all required information.
   - Attach copies of schedules (Schedule 13) and other supporting documents.

4. **Submission**:  
   - Email the completed form and supporting documents to `iod_tradeinv@bsp.gov.ph` by the specified deadline.

---

### **Important Notes:**
- Ensure that all data is accurate and complete before submission.
- Verify the formatting requirements for each section of the forms, as BSP may have specific instructions regarding layout and signature placement.
- If unsure about any part of the process, consider consulting with a financial officer or compliance officer at your bank.

Let me know if you need further assistance!"
